"","datetime","receiver","detected","tag_range","tag_depth","case_number","sub_case_number","dm","cpdi_type","event"
"567",2016-07-12 20:52:13,"prediction",0,1,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"569",2016-07-12 20:52:23,"prediction",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"571",2016-07-12 20:52:33,"prediction",0,766,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"574",2016-07-12 20:52:44,"prediction",0,1,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"575",2016-07-12 20:52:54,"prediction",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"577",2016-07-12 20:53:04,"prediction",0,766,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"579",2016-07-12 20:53:15,"prediction",0,1,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"582",2016-07-12 20:53:25,"prediction",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"583",2016-07-12 20:53:36,"prediction",0,766,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"585",2016-07-12 20:55:08,"prediction",1,199,297,1,"b","direct only","Control","1b"
"587",2016-07-12 20:55:18,"prediction",1,578,297,1,"b","direct only","Control","1b"
"590",2016-07-12 20:55:28,"prediction",1,989,297,1,"b","direct only","Control","1b"
"591",2016-07-12 20:55:39,"prediction",1,199,297,1,"b","direct only","Control","1b"
"593",2016-07-12 20:55:49,"prediction",1,578,297,1,"b","direct only","Control","1b"
"595",2016-07-12 20:55:59,"prediction",1,989,297,1,"b","direct only","Control","1b"
"597",2016-07-12 20:56:10,"prediction",1,199,297,1,"b","direct only","Control","1b"
"600",2016-07-12 20:56:20,"prediction",1,578,297,1,"b","direct only","Control","1b"
"602",2016-07-12 20:56:30,"prediction",1,989,297,1,"b","direct only","Control","1b"
"603",2016-07-12 20:56:41,"prediction",1,199,270,1,"b","direct only","Control","1b"
"605",2016-07-12 20:56:51,"prediction",1,578,270,1,"b","direct only","Control","1b"
"608",2016-07-12 20:57:01,"prediction",1,989,270,1,"b","direct only","Control","1b"
"610",2016-07-12 20:57:11,"prediction",1,199,270,1,"b","direct only","Control","1b"
"611",2016-07-12 20:57:22,"prediction",1,578,270,1,"b","direct only","Control","1b"
"613",2016-07-12 20:57:32,"prediction",1,989,270,1,"b","direct only","Control","1b"
"616",2016-07-12 20:57:42,"prediction",1,199,270,1,"b","direct only","Control","1b"
"618",2016-07-12 20:57:53,"prediction",1,578,270,1,"b","direct only","Control","1b"
"619",2016-07-12 20:58:03,"prediction",1,989,270,1,"b","direct only","Control","1b"
"621",2016-07-12 20:58:13,"prediction",1,1,297,1,"b","direct only","Control","1b"
"623",2016-07-12 20:58:24,"prediction",1,399,297,1,"b","direct only","Control","1b"
"626",2016-07-12 20:58:34,"prediction",1,766,297,1,"b","direct only","Control","1b"
"628",2016-07-12 20:58:44,"prediction",1,1,297,1,"b","direct only","Control","1b"
"629",2016-07-12 20:58:55,"prediction",1,399,297,1,"b","direct only","Control","1b"
"631",2016-07-12 20:59:05,"prediction",1,766,297,1,"b","direct only","Control","1b"
"634",2016-07-12 20:59:15,"prediction",1,1,297,1,"b","direct only","Control","1b"
"636",2016-07-12 20:59:26,"prediction",1,399,297,1,"b","direct only","Control","1b"
"637",2016-07-12 20:59:36,"prediction",1,766,297,1,"b","direct only","Control","1b"
"639",2016-07-12 20:59:46,"prediction",1,1,270,1,"b","direct only","Control","1b"
"642",2016-07-12 20:59:57,"prediction",1,399,270,1,"b","direct only","Control","1b"
"644",2016-07-12 21:00:07,"prediction",1,766,270,1,"b","direct only","Control","1b"
"645",2016-07-12 21:00:17,"prediction",1,1,270,1,"b","direct only","Control","1b"
"647",2016-07-12 21:00:28,"prediction",1,399,270,1,"b","direct only","Control","1b"
"649",2016-07-12 21:00:38,"prediction",1,766,270,1,"b","direct only","Control","1b"
"651",2016-07-12 21:00:48,"prediction",1,1,270,1,"b","direct only","Control","1b"
"654",2016-07-12 21:00:59,"prediction",0,399,270,1,"b","direct only","Control","1b"
"655",2016-07-12 21:01:09,"prediction",1,766,270,1,"b","direct only","Control","1b"
"657",2016-07-12 21:03:33,"prediction",1,75,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"659",2016-07-12 21:03:43,"prediction",1,300,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"662",2016-07-12 21:03:54,"prediction",1,1200,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"663",2016-07-12 21:04:04,"prediction",1,75,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"665",2016-07-12 21:04:14,"prediction",1,300,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"667",2016-07-12 21:04:25,"prediction",1,1200,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"670",2016-07-12 21:04:35,"prediction",1,75,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"671",2016-07-12 21:04:46,"prediction",1,300,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"673",2016-07-12 21:04:56,"prediction",1,1200,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"675",2016-07-12 21:05:06,"prediction",1,1,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"677",2016-07-12 21:05:17,"prediction",1,150,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"680",2016-07-12 21:05:27,"prediction",1,600,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"682",2016-07-12 21:05:38,"prediction",1,1,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"684",2016-07-12 21:05:48,"prediction",1,150,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"685",2016-07-12 21:05:58,"prediction",1,600,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"688",2016-07-12 21:06:09,"prediction",1,1,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"690",2016-07-12 21:06:19,"prediction",1,150,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"692",2016-07-12 21:06:30,"prediction",1,600,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"693",2016-07-12 21:08:08,"prediction",1,75,17.5,2,"a","direct only","Control","2a"
"696",2016-07-12 21:08:18,"prediction",1,300,17.5,2,"a","direct only","Control","2a"
"698",2016-07-12 21:08:28,"prediction",1,1200,17.5,2,"a","direct only","Control","2a"
"700",2016-07-12 21:08:39,"prediction",1,75,17.5,2,"a","direct only","Control","2a"
"701",2016-07-12 21:08:49,"prediction",1,300,17.5,2,"a","direct only","Control","2a"
"703",2016-07-12 21:09:00,"prediction",1,1200,17.5,2,"a","direct only","Control","2a"
"706",2016-07-12 21:09:10,"prediction",1,75,17.5,2,"a","direct only","Control","2a"
"708",2016-07-12 21:09:21,"prediction",1,300,17.5,2,"a","direct only","Control","2a"
"710",2016-07-12 21:09:31,"prediction",1,1200,17.5,2,"a","direct only","Control","2a"
"711",2016-07-12 21:09:41,"prediction",1,1,17.5,2,"a","direct only","Control","2a"
"714",2016-07-12 21:09:52,"prediction",1,150,17.5,2,"a","direct only","Control","2a"
"716",2016-07-12 21:10:02,"prediction",1,600,17.5,2,"a","direct only","Control","2a"
"718",2016-07-12 21:10:13,"prediction",1,1,17.5,2,"a","direct only","Control","2a"
"719",2016-07-12 21:10:23,"prediction",1,150,17.5,2,"a","direct only","Control","2a"
"722",2016-07-12 21:10:34,"prediction",1,600,17.5,2,"a","direct only","Control","2a"
